Well,tx,conc,plate,T0,T48,hr_norm
B2,CX,10,p1,141.32619439868205,0,0
B2,CX,10,p2,89.24407179352811,0,0
B3,CX,5,p1,132.05930807248765,0,0
B3,CX,5,p2,92.02672605790646,0,0
B4,CX,1,p1,125.32948929159802,2.0868036276142883,1.6650539624868523
B4,CX,1,p2,83.65256124721604,13.537437360547203,16.18293230800238
B5,CX,0.75,p1,130.67545304777596,11.633968782775002,8.902948879405479
B5,CX,0.75,p2,83.36957945761824,33.24847287757416,39.880821150688845
B6,CX,0.5,p1,128.87149917627676,44.12209266456907,34.23727740158955
B6,CX,0.5,p2,82.13284422900563,50.656571198653936,61.676387411364374
B7,CX,0.1,p1,105.23887973640858,101.53464124868901,96.48016161232658
B7,CX,0.1,p2,90.25022926765361,86.2452906104832,95.56240611279443
B8,CX,0.05,p1,93.28665568369028,106.41464618421865,114.07274213478273
B8,CX,0.05,p2,85.06747019520503,91.6763597790702,107.76899744250028
B9,DOX,10,p1,117.79242174629326,0,0
B9,DOX,10,p2,96.38150137560592,0,0
B10,DOX,10,p1,113.71499176276771,0.5074341415263126,0.44623328345740204
B10,DOX,10,p2,87.26843966985459,0,0
B11,DOX,0.1,p1,114.2009884678748,14.511999506447035,12.70742022563957
B11,DOX,0.1,p2,103.8438359753701,71.85120158016021,69.19159033878721
C2,CX,10,p1,137.46293245469522,0,0
C2,CX,10,p2,0,0,NA
C3,CX,5,p1,131.76276771004942,0,0
C3,CX,5,p2,81.06380191274728,0,0
C4,CX,1,p1,125.87314662273477,2.6050342402369053,2.0695710801960625
C4,CX,1,p2,77.06013363028953,15.465818062109074,20.069804363835186
C5,CX,0.75,p1,140.98023064250413,37.894071195015115,26.878996453840692
C5,CX,0.75,p2,75.27315603301454,34.770108636014484,46.19191019540145
C6,CX,0.5,p1,125,56.28508853106299,45.02807082485039
C6,CX,0.5,p2,79.19297785929517,56.18420571344965,70.94594398669288
C7,CX,0.1,p1,101.25205930807249,92.60133259300389,91.4562461502658
C7,CX,0.1,p2,91.69134023319796,80.82007388712096,88.14362804772163
C8,CX,0.05,p1,86.72158154859967,94.26090443580726,108.69371009220177
C8,CX,0.05,p2,77.86715577099437,90.83360766670324,116.65201684500065
C9,DOX,5,p1,97.63591433278418,0,0
C9,DOX,5,p2,77.07061443731166,0,0
C10,DOX,5,p1,98.29489291598023,0.13110000616941206,0.1333741787393499
C10,DOX,5,p2,98.38333551683479,0,0
C11,DOX,0.1,p1,132.29818780889622,58.54617804923191,44.25319728022386
C11,DOX,0.1,p2,94.81986112930696,57.54489922820879,60.68865588163448
D2,VEH,10,p1,0.14827018121911037,0,0
D2,VEH,10,p2,91.94812000524041,79.45645414974945,86.41444125798436
D3,VEH,5,p1,139.9670510708402,120.15084212474551,85.84223301520777
D3,VEH,5,p2,72.99882090921001,81.33801528951315,111.42373846102905
D4,VEH,1,p1,121.02141680395387,117.72317848109076,97.27466558402136
D4,VEH,1,p2,80.2462989650203,75.72844654157065,94.37001770583962
D5,VEH,0.75,p1,120.28830313014826,122.56616694429022,101.89367025294003
D5,VEH,0.75,p2,72.59530983885759,77.94652328175866,107.37129362045475
D6,VEH,0.5,p1,121.68863261943987,123.19853167993091,101.240788911823
D6,VEH,0.5,p2,69.25193239879471,82.44705365960715,119.05379504044294
D7,VEH,0.1,p1,102.51235584843492,112.15528410142512,109.40660096354368
D7,VEH,0.1,p2,81.11096554434691,82.32415230988698,101.49571239523314
D8,VEH,0.05,p1,87.52059308072488,109.90036399531124,125.57086295558383
D8,VEH,0.05,p2,79.02528494694091,83.63802626284794,105.83704483824907
D9,DOX,1,p1,80.85667215815486,0,0
D9,DOX,1,p2,80.94327263199267,0,0
D10,DOX,1,p1,66.12850082372323,0,0
D10,DOX,1,p2,92.72369972487881,0,0
D11,untx,0,p1,122.32289950576607,97.7928928373126,79.94651306700167
D11,untx,0,p2,100.17555351762087,103.63875781850105,103.45713517846546
E2,VEH,10,p1,148.92915980230643,111.33166759207846,74.75478122609694
E2,VEH,10,p2,94.19625311148958,103.53926624967995,109.91866749427082
E3,VEH,5,p1,130.46128500823724,112.03806527237954,85.87840083386081
E3,VEH,5,p2,83.2333289663304,92.48692344270091,111.11765514042311
E4,VEH,1,p1,122.998352553542,118.1920537972731,96.0923876974883
E4,VEH,1,p2,80.62360801781738,88.37850689491204,109.61864529230803
E5,VEH,0.75,p1,113.54200988467875,113.56191004997225,100.01752669810382
E5,VEH,0.75,p2,78.5693698414778,90.049380006584,114.61130487398381
E6,VEH,0.5,p1,110.0988467874794,111.31932876796841,101.10853293753827
E6,VEH,0.5,p2,82.60972094851303,94.94202421449212,114.92839235429118
E7,VEH,0.1,p1,144.22570016474467,112.79690295514837,78.20860139788115
E7,VEH,0.1,p2,86.61862963448186,87.33091919967812,100.82232837000772
E8,VEH,0.05,p1,107.8665568369028,109.5332839780369,101.54517506631295
E8,VEH,0.05,p2,88.6099829686886,88.27316288086617,99.61988471666736
E9,DOX,0.5,p1,92.44645799011532,0,0
E9,DOX,0.5,p2,90.92100091707061,0,0
E10,DOX,0.5,p1,89.10214168039539,0,0
E10,DOX,0.5,p2,95.7683741648107,0,0
E11,untx,0,p1,77.67710049423394,102.2071071626874,131.579457153237
E11,untx,0,p2,99.82444648237914,96.36124218149897,96.53070523011465
